,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Discription,Geographical area 
10,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,None,Botanical,Yes,0.23,Morning,"Spread over 20 acres, this unique garden is designed to stimulate the five senses with its variety of themed areas, sculptures, water features, and flora. It's a serene escape from the city's hustle and bustle.","Latitude: 28.5163° N, Longitude: 77.1937° E"
11,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,0,Yes,None,Botanical,Yes,0.48,All,"A historic park that houses the tombs of 15th-century rulers, Lodhi Garden is a popular spot for morning walks, picnics, and photography. Its lush greenery and tranquil environment make it a favorite among locals and tourists.","Latitude: 28.5931° N, Longitude: 77.2197° E"
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,This art museum in New Delhi showcases a vast collection of modern and contemporary Indian art. It features works by renowned Indian artists and hosts regular exhibitions and events.,"Latitude: 28.6110° N, Longitude: 77.2191° E"
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,"Also known as the Delhi Zoo, it is home to a wide variety of animal species and offers a naturalistic habitat for them. It is a popular destination for families and wildlife enthusiasts.","Latitude: 28.6080° N, Longitude: 77.2433° E"
14,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,35,Yes,None,Historical,Yes,1.37,Afternoon,"A UNESCO World Heritage Site, Qutub Minar is the tallest brick minaret in the world. This 73-meter tall structure is an architectural marvel from the 12th century and is surrounded by ancient ruins and lush gardens.","Latitude: 28.5244° N, Longitude: 77.1855° E"
15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,70,Yes,None,Scientific,Yes,0.23,All,"An educational institution that aims to promote scientific knowledge and awareness, the National Science Centre features interactive exhibits, demonstrations, and a variety of science-related activities for visitors of all ages.","Latitude: 28.6134° N, Longitude: 77.2471° E"
16,Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2,4.5,0,Yes,None,Scenic,Yes,1.5,Evening,"A scenic boulevard along the coast of Mumbai, also known as the Queen's Necklace due to its sparkling night lights. It offers stunning views of the Arabian Sea.","Latitude: 18.9440° N, Longitude: 72.8235° E"
17,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1,4.6,0,Yes,None,Historical,Yes,3.6,All,"An iconic arch-monument built during the 20th century in Mumbai, it overlooks the Arabian Sea and is a popular tourist destination and historical landmark.","Latitude: 18.9220° N, Longitude: 72.8347° E"
18,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,500,Yes,None,Historical,Yes,0.34,All,"Formerly known as the Prince of Wales Museum, this museum in Mumbai houses a vast collection of artifacts, artworks, and relics from India's history.","Latitude: 18.9260° N, Longitude: 72.8333° E"
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,"Located in the northern part of Mumbai, this large protected area features diverse flora and fauna, scenic landscapes, and the ancient Kanheri Caves.","Latitude: 19.2147° N, Longitude: 72.9106° E"
20,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,0,Yes,None,Religious,No,1.05,All,"A revered Hindu temple dedicated to Lord Ganesha, located in Mumbai. It is one of the richest and most visited temples in the city.","Latitude: 19.0176° N, Longitude: 72.8306° E"
21,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,0,Yes,None,Religious,No,0.33,All,A prominent temple in Mumbai dedicated to the goddess Mahalaxmi. It is known for its beautiful architecture and religious significance.,"Latitude: 18.9802° N, Longitude: 72.8122° E"
22,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,0,Yes,None,Religious,No,0.16,All,A mosque and dargah (tomb) located on an islet off the coast of Mumbai. It is a renowned pilgrimage site for both Muslims and people of other faiths.,"Latitude: 18.9821° N, Longitude: 72.8064° E"
23,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2,4.3,0,Yes,None,Recreational,Yes,0.05,Evening,"A famous beach in Mumbai known for its vibrant atmosphere, street food stalls, and festive celebrations, especially during the Ganesh Chaturthi festival.","Latitude: 18.9543° N, Longitude: 72.8142° E"
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,Yes,None,Recreational,Yes,0.27,All,"One of India's largest amusement parks, located in Mumbai. It offers a variety of rides, attractions, and entertainment options for all age groups.","Latitude: 19.2360° N, Longitude: 72.8058° E"
25,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,Yes,None,Historical,Yes,0.35,All ,A UNESCO World Heritage Site located on Elephanta Island near Mumbai. These rock-cut caves are known for their intricate sculptures and carvings dedicated to Lord Shiva.,"Latitude: 18.9633° N, Longitude: 72.9310° E"
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,1149,No,Monday,Recreational,Yes,0.95,All,"A popular theme park located near Mumbai, offering a wide range of thrilling rides, entertainment shows, and attractions for visitors of all ages.","Latitude: 18.8014° N, Longitude: 73.3331° E"
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,"A grand palace in Bangalore inspired by England's Windsor Castle. It features Tudor-style architecture, lavish interiors, and sprawling grounds.","Latitude: 12.9988° N, Longitude: 77.5921° E"
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,None,Nature,Yes,1.5,Evening,"A historic botanical garden in Bangalore, renowned for its diverse plant species, stunning flower shows, and the iconic glass house.","Latitude: 12.9507° N, Longitude: 77.5848° E"
29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,4.4,0,Yes,None,Nature,Yes,1.32,Morning,"A major green space in Bangalore, offering serene landscapes, walking paths, and a variety of flora and fauna. It is a popular spot for relaxation and recreation.","Latitude: 12.9763° N, Longitude: 77.5929° E"
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,None,Architectural,No,0.8,Morning,An impressive building in Bangalore that houses the Karnataka State Legislature and Secretariat. It is known for its grand architecture and is an important political landmark.,"Latitude: 12.9789° N, Longitude: 77.5895° E"
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,4.6,0,Yes,None,Religious,Yes,1.14,Evening,"A large and modern temple complex in Bangalore dedicated to Lord Krishna. It features beautiful architecture, vibrant spiritual activities, and a serene environment.","Latitude: 13.0090° N, Longitude: 77.5511° E"
32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,"This 16th-century mosque, with its four grand arches, is a symbol of Hyderabad and a major landmark. It stands in the heart of the city and is famous for its historical and architectural significance.","Latitude: 17.3616° N, Longitude: 78.4744° E"
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,4.4,30,Yes,None,Historical,Yes,1.2,Morning,"Known for its impressive acoustic system and strategic location, Golconda Fort is a historic fortress that offers panoramic views of Hyderabad and a glimpse into its regal past.","Latitude: 17.4074° N, Longitude: 77.0343° E"
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,0,Yes,None,Scenic,Yes,0.5,Evening,"An expansive artificial lake featuring a large statue of Buddha on an island, Hussain Sagar Lake is a serene spot for boat rides and evening strolls, offering picturesque views of the city.","Latitude: 17.4237° N, Longitude: 78.4753° E"
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,4.4,1150,Yes,None,Entertainment,Yes,0.45,All,"This sprawling film studio and theme park offers a behind-the-scenes look at film production, with elaborate sets, attractions, and entertainment options for visitors.","Latitude: 17.2830° N, Longitude: 78.6661° E"
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,4.4,20,Yes,None,Historical,Yes,0.67,All,"Home to an extensive collection of art, artifacts, and antiques from around the world, this museum is renowned for its diverse exhibits and historical treasures.","Latitude: 17.3753° N, Longitude: 78.4741° E"
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,4.4,25,Yes,None,Historical,Yes,0.2,Morning,"These tombs, located near Golconda Fort, are the final resting places of the Qutb Shahi dynasty and are celebrated for their distinctive architecture and intricate carvings.","Latitude: 17.3881° N, Longitude: 77.0369° E"
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,4.7,0,Yes,None,Religious,No,0.41,All,"This contemporary Hindu temple, constructed from white marble, is perched on a hill and offers stunning views of Hyderabad, along with intricate carvings and peaceful surroundings.","Latitude: 17.4260° N, Longitude: 78.4576° E"
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,None,Historical,Yes,0.45,Morning,"Once the seat of the Nizams of Hyderabad, this opulent palace complex features grand halls, lush gardens, and a rich history, reflecting the luxury and culture of the Nizam era","Latitude: 17.3619° N, Longitude: 78.4735° E"
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,50,Yes,None,Wildlife,Yes,0.86,Morning,"A large and well-maintained zoo, Nehru Zoological Park is home to a variety of animal species and provides an educational and entertaining experience for visitors of all ages.","Latitude: 17.3615° N, Longitude: 78.4688° E"
41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,20,Yes,None,Recreational,Yes,0.73,Evening,"Located near Hussain Sagar Lake, Lumbini Park is known for its musical fountain, lush greenery, and recreational facilities, making it a popular spot for family outings and leisurely walks.","Latitude: 17.4186° N, Longitude: 78.4777° E"
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,"A grand white marble monument dedicated to Queen Victoria, featuring a museum and lush gardens. It's a prominent landmark and a symbol of British colonial history in Kolkata.","Latitude: 22.5431° N, Longitude: 88.3459° E"
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,None,Architectural,No,1.2,Anytime,"An iconic cantilever bridge over the Hooghly River, renowned for its engineering marvel and bustling traffic. It connects Howrah and Kolkata and is a major landmark in the city.","Latitude: 22.5753° N, Longitude: 88.3639° E"
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,"The oldest museum in India, housing a vast collection of artifacts, including ancient sculptures, coins, and fossils. It offers insights into India's rich cultural and natural heritage.","Latitude: 22.5608° N, Longitude: 88.3639° E"
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,0,Yes,None,Religious,Yes,0.82,Morning,"A historic Hindu temple dedicated to the goddess Kali, known for its distinctive architecture and spiritual significance. It is located on the banks of the Hooghly River.","Latitude: 22.6682° N, Longitude: 88.3474° E"
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,0,Yes,None,Religious,Yes,0.5,Morning,"A revered Hindu temple dedicated to the goddess Kali, famous for its spiritual atmosphere and intricate rituals. It is one of the city's most important pilgrimage sites.","Latitude: 22.5073° N, Longitude: 88.3250° E"
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,Yes,None,Sports,Yes,0.1,All,A renowned cricket stadium known for its grandeur and historical matches. It is one of the largest cricket grounds in the world and a key venue for international cricket.,"Latitude: 22.5586° N, Longitude: 88.3460° E"
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,Yes,None,Wildlife,Yes,0.66,Afternoon,"The oldest zoo in India, featuring a diverse range of animal species and well-maintained enclosures. It provides educational and recreational experiences for visitors.","Latitude: 22.5204° N, Longitude: 88.3286° E"
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,60,Yes,None,Educational,Yes,0.88,All,"An interactive science museum offering a range of exhibits, science shows, and educational activities. It's designed to make learning about science fun and engaging for all ages.","Latitude: 22.5685° N, Longitude: 88.3931° E"
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,None,Religious,Yes,0.47,Morning,"The headquarters of the Ramakrishna Order, this serene complex features beautiful temples and gardens. It is known for its spiritual teachings and architectural harmony.","Latitude: 22.6100° N, Longitude: 88.3575° E"
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,0,Yes,None,Historical,Yes,0.1,Afternoon,A grand 19th-century mansion famous for its exquisite marble architecture and collection of art and antiques. It reflects the opulence of Kolkata’s colonial era.,"Latitude: 22.5626° N, Longitude: 88.3437° E"
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2,4.4,0,Yes,None,Scenic,Yes,0.26,Evening,"A popular beach known for its lively atmosphere, water sports, and bustling markets. It's often referred to as the ""Queen of Beaches"" and attracts a large number of tourists.","Latitude: 15.5529° N, Longitude: 73.7652° E"
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,4.5,0,Yes,None,Historical,Yes,0.59,Afternoon,"A UNESCO World Heritage Site, this 16th-century church is renowned for its baroque architecture and the preserved remains of St. Francis Xavier. It is a significant religious and historical landmark.","Latitude: 15.4912° N, Longitude: 73.8271° E"
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,None,Historical,Yes,0.95,Morning,"A 17th-century Portuguese fort offering panoramic views of the Arabian Sea. It features a lighthouse and historical cannons, and is a popular spot for history enthusiasts.","Latitude: 15.5497° N, Longitude: 73.8010° E"
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3,4.6,500,Yes,None,Nature,Yes,0.3,Afternoon,"A majestic four-tiered waterfall located in the Western Ghats, known for its spectacular height and lush surroundings. It’s a popular spot for trekking and nature photography.","Latitude: 15.2910° N, Longitude: 74.0490° E"
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2,4.4,0,Yes,None,Scenic,Yes,0.18,Evening,"Famous for its vibrant nightlife and flea market, Anjuna Beach is a favorite among backpackers and party-goers. It offers beautiful sunset views and a laid-back atmosphere.","Latitude: 15.5527° N, Longitude: 73.8258° E"
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,0,Yes,None,Historical,Yes,0.19,Evening,A historic fort with panoramic views of the Chapora River and Vagator Beach. It is known for its scenic beauty and has been featured in several Bollywood movies.,"Latitude: 15.5525° N, Longitude: 73.7646° E"
58,Southern,Goa,Goa,Se Cathedral,Church,1640,1,4.5,0,Yes,None,Historical,Yes,0.05,Afternoon,"One of the largest churches in Asia, it is known for its impressive Gothic architecture and the famous Golden Bell. It is an important religious and historical site in Old Goa.","Latitude: 15.4948° N, Longitude: 73.8284° E"
59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2,4.5,0,Yes,None,Scenic,Yes,0.35,Evening,"A lively beach known for its vibrant nightlife, beach shacks, and water sports. It’s a great spot for enjoying sunbathing, dining, and entertainment.","Latitude: 15.5521° N, Longitude: 73.7834° E"
60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2,4.6,0,Yes,None,Scenic,Yes,0.1,Evening,"A serene beach with a relaxed vibe, popular for its stunning sunsets, natural beauty, and local markets. It’s also known for its freshwater lake and paragliding opportunities.","Latitude: 15.5643° N, Longitude: 73.7513° E"
61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2,4.6,0,Yes,None,Scenic,Yes,0.27,Evening,"A picturesque and tranquil beach known for its crescent-shaped shoreline, clear waters, and relaxed atmosphere. It’s ideal for swimming and enjoying peaceful beach walks.","Latitude: 15.0080° N, Longitude: 74.0324° E"
62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2,4.3,0,Yes,None,Scenic,Yes,0.1,Evening,A long and sandy beach known for its scenic beauty and water sports activities. It’s a family-friendly destination with a lively atmosphere and numerous beachside shacks.,"Latitude: 15.2910° N, Longitude: 73.9878° E"
63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Scenic,Yes,0.3,Evening,"Located close to the city of Panaji, Miramar Beach is known for its picturesque sunset views and gentle waves. It’s a popular spot for evening strolls and local gatherings.","Latitude: 15.4906° N, Longitude: 73.8170° E"
64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2,4.5,0,Yes,None,Scenic,Yes,0.01,Evening,"A quiet and less crowded beach near Fort Aguada, offering a peaceful retreat with stunning views of the Arabian Sea. It’s ideal for relaxation and enjoying the sea breeze.","Latitude: 15.5497° N, Longitude: 73.8009° E"
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,3.9,10,Yes,None,Wildlife,Yes,0.03,Afternoon,"A protected area on the island of Divar, known for its diverse bird species and lush mangrove forests. It’s a great spot for birdwatching and nature walks.","Latitude: 15.5516° N, Longitude: 73.8790° E"
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,None,Historical,Yes,0.35,Morning,"Founded by Mahatma Gandhi, this historical ashram on the banks of the Sabarmati River served as a key center for the Indian independence movement. It is now a museum dedicated to Gandhi's life and teachings.","Latitude: 23.0225° N, Longitude: 72.5714° E"
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,4.7,0,No,None,Religious,No,0.59,Evening,"An ancient Hindu temple dedicated to Lord Krishna, located in Dwarka. It is a significant pilgrimage site and known for its beautiful architecture and spiritual ambiance.","Latitude: 22.2392° N, Longitude: 68.9776° E"
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,4.5,3500,No,None,Wildlife,Yes,0.08,Morning,"The only home of Asiatic lions in the wild, Gir National Park is a major wildlife sanctuary offering opportunities for lion safaris and observing diverse flora and fauna.","Latitude: 21.1453° N, Longitude: 70.2280° E"
69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,None,Nature,Yes,0.12,Evening,"Also known as the Rann of Kutch, this vast salt desert is renowned for its stunning white landscape, especially during the full moon. It hosts the Rann Utsav, a vibrant cultural festival celebrating local arts and crafts.","Latitude: 23.0376° N, Longitude: 69.6582° E"
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,"A grand palace in Vadodara, known for its opulent architecture and expansive grounds. It serves as the residence of the Gaekwad family and houses a museum with a rich collection of artifacts.","Latitude: 22.3039° N, Longitude: 73.1920° E"
71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,4.8,0,No,None,Religious,No,0.39,Morning,"An important Hindu temple dedicated to Lord Shiva, located in Somnath. It is one of the twelve Jyotirlingas and is renowned for its architectural splendor and historical significance.","Latitude: 20.8985° N, Longitude: 70.4036° E"
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3,4.9,7500,Yes,None,Cultural,Yes,0.1,Evening,"An annual festival held in the White Desert, celebrating the culture, crafts, and traditions of Kutch. It features vibrant performances, art exhibitions, and a variety of local cuisines.","Latitude: 23.1680° N, Longitude: 69.7660° E"
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,4.6,350,No,Monday,Historical,Yes,0.67,All,"The world’s tallest statue, dedicated to Sardar Vallabhbhai Patel, located in the Narmada district. It stands as a tribute to India's unity and serves as a major tourist attraction.","Latitude: 21.9881° N, Longitude: 75.5500° E"
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,None,Historical,Yes,0.05,All,"A museum in Gandhinagar dedicated to the Dandi March, led by Mahatma Gandhi. It provides insights into the historical salt march and Gandhi's role in India's struggle for independence.","Latitude: 23.2156° N, Longitude: 72.6330° E"
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,4.6,0,Yes,None,Recreational,Yes,0.1,Evening,"A rejuvenated area along the Sabarmati River in Ahmedabad, featuring beautifully landscaped parks, promenades, and cultural spaces, ideal for leisurely walks and recreational activities.","Latitude: 23.0276° N, Longitude: 72.5710° E"
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2,4.4,0,Yes,None,Food,Yes,0.49,Night,A bustling square in Ahmedabad known for its vibrant street food scene and local markets. It transforms into a lively hub in the evening with a variety of food stalls and shops.,"Latitude: 23.0350° N, Longitude: 72.5820° E"
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,4.5,10,Yes,None,Recreational,Yes,0.3,Afternoon,"A large artificial lake in Ahmedabad, surrounded by a park, zoo, and amusement park. It is a popular spot for family outings and leisure activities.","Latitude: 23.0585° N, Longitude: 72.5790° E"
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7,4.4,500,Yes,Monday,Educational,Yes,0.11,All,"An interactive science museum in Ahmedabad, featuring exhibits on various scientific concepts, a planetarium, and educational workshops. It aims to make science engaging and accessible to all.","Latitude: 23.0592° N, Longitude: 72.5718° E"
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,4.4,50,Yes,None,Architectural,Yes,1.3,Morning,"Known as the ""Palace of Winds,"" this iconic 18th-century palace in Jaipur is famous for its intricately designed facade with numerous small windows, allowing royal ladies to observe street life without being seen.","Latitude: 26.9236° N, Longitude: 75.8267° E"
80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,4.4,300,Yes,None,Historical,Yes,0.51,All,"A grand complex in Udaipur, blending Rajasthani and Mughal architectural styles. It features opulent courtyards, gardens, and museums showcasing royal artifacts and artworks.","Latitude: 24.5854° N, Longitude: 73.7125° E"
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,None,Historical,Yes,0.56,All,"A magnificent yellow sandstone fort in Jaisalmer, known as the ""Golden Fort"" for its golden-hued appearance. It is a UNESCO World Heritage Site and an architectural marvel with a rich history.","Latitude: 26.9124° N, Longitude: 70.0150° E"
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,4.6,500,No,None,Wildlife,Yes,0.09,All,"A renowned wildlife sanctuary in Sawai Madhopur, famous for its population of Bengal tigers. The park offers thrilling safari experiences and scenic views of ancient ruins amidst lush forest.","Latitude: 26.0184° N, Longitude: 76.3964° E"
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,None,Religious,Yes,1.6,All,"A sacred lake in Pushkar, surrounded by numerous temples and ghats. It is a significant pilgrimage site and the venue for the famous Pushkar Camel Fair, attracting thousands of visitors each year.","Latitude: 26.4897° N, Longitude: 74.5654° E"
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,4.6,0,Yes,None,Religious,No,0.35,All,"A revered Sufi shrine dedicated to Garib Nawaz, located in Ajmer. It is an important pilgrimage site for people of all faiths and is known for its serene atmosphere and spiritual significance.","Latitude: 26.4534° N, Longitude: 74.6399° E"
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,4.6,100,Yes,None,Historical,Yes,0.64,All,"A majestic fort in Jodhpur, offering panoramic views of the city and the Thar Desert. It is renowned for its impressive architecture, vast courtyards, and a museum with a rich collection of artifacts.","Latitude: 26.2950° N, Longitude: 73.0296° E"
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,40,No,None,Historical,Yes,1.9,All,"One of the largest forts in India, located in Chittorgarh. It is known for its massive walls, historical significance, and architectural grandeur, including palaces, temples, and towers.","Latitude: 24.8866° N, Longitude: 74.6264° E"
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,0,No,None,Religious,No,0.05,All,"A group of exquisite Jain temples located near Mount Abu, famous for their intricate marble carvings and architectural beauty. They are an important pilgrimage site for Jains.","Latitude: 24.5933° N, Longitude: 72.5522° E"
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,50,Yes,None,Historical,Yes,0.32,All,"A historic fort in Bikaner, known for its impressive fortifications and intricate architecture. It features beautiful palaces, courtyards, and temples, offering insights into Rajasthan’s royal heritage.","Latitude: 28.0353° N, Longitude: 73.3082° E"
